(10080, [0, 0, 0, 2, 21, 29])
(10080, [0, 0, 0, 2, 21, 32])
(10080, [0, 0, 0, 2, 21, 36])
(10080, [0, 0, 0, 2, 21, 38])
(10080, [0, 0, 0, 2, 23, 12])
(10080, [0, 0, 0, 2, 23, 32])
(10080, [0, 0, 0, 2, 23, 36])
(10080, [0, 0, 0, 2, 23, 38])
(10080, [0, 0, 0, 2, 25, 3])
(10080, [0, 0, 0, 2, 25, 33])
(10080, [0, 0, 0, 2, 25, 36])
(10080, [0, 0, 0, 2, 27, 5])
(10080, [0, 0, 0, 2, 27, 36])
(10080, [0, 0, 0, 4, 0, 8])
(10080, [0, 0, 0, 4, 0, 11])
(10080, [0, 0, 0, 4, 0, 13])
